match_dir,t,seat,agent,kind,action,coop,obs_action,obs_coop,reward,B_eff,B_base,obs_coop_mean,r_obs_prev,r_obs_next,streak_prev,streak_next,gtft_action,N,M,p,lam,seed,switched,matches_gtft
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,12,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,11,12,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,13,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,12,13,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,14,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,13,14,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,15,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,14,15,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,16,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,15,16,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,17,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,16,17,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,18,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,17,18,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,19,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,18,19,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,20,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,19,20,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,21,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,20,21,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,22,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,21,22,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,23,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,22,23,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,24,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,23,24,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,25,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,24,25,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,26,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,25,26,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,27,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,26,27,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,28,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,27,28,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,29,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,28,29,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,30,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,29,30,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,31,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,30,31,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,32,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,31,32,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,33,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,32,33,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,34,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,33,34,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,35,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,34,35,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,36,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,35,36,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,37,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,36,37,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,38,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,37,38,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,39,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,38,39,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,40,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,39,40,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,41,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,40,41,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,42,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,41,42,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,43,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,42,43,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,44,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,43,44,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,45,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,44,45,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,46,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,45,46,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,47,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,46,47,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,48,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,47,48,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,49,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,48,49,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,50,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,49,50,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,1,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.0,0.8,0,1,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,2,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.8,0.8,1,2,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,3,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.8,0.8000000000000002,2,3,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,4,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.8000000000000002,0.8,3,4,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,5,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.8,0.8,4,5,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,6,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.8,0.7999999999999999,5,6,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,7,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,6,7,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,8,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,7,8,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,9,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,8,9,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,10,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,9,10,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,11,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,10,11,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,12,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,11,12,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,13,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,12,13,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,14,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,13,14,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,15,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,14,15,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,16,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,15,16,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,17,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,16,17,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,18,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,17,18,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,19,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,18,19,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,20,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,19,20,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,21,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,20,21,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,22,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,21,22,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,23,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,22,23,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,24,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,23,24,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,25,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,24,25,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,26,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,25,26,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,27,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,26,27,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,28,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,27,28,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,29,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,28,29,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,30,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,29,30,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,31,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,30,31,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,32,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,31,32,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,33,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,32,33,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,34,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,33,34,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,35,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,34,35,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,36,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,35,36,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,37,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,36,37,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,38,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,37,38,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,39,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,38,39,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,40,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,39,40,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,41,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,40,41,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,42,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,41,42,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,43,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,42,43,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,44,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,43,44,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,45,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,44,45,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,46,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,45,46,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,47,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,46,47,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,48,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,47,48,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,49,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,48,49,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,50,1,always_defect,deterministic,1,0.0,1,0.0,2.0,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,49,50,0,5,2,0.0,0.0,101,0.0,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,1,2,graded_tft,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.0,0.8,0,1,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,2,2,graded_tft,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.8,0.8,1,2,0,5,2,0.0,0.0,101,0.0,1.0
